City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
gazanjyk,74,TM,1584498120,80,48.0,39.24,55.52,6.2
inhambane,21,MZ,1584498022,73,73.49,-23.86,35.38,13.44
ribeira grande,50,PT,1584498120,89,58.17,38.52,-28.7,10.85
bengkulu,97,ID,1584497867,70,85.77,-3.8,102.27,2.1
punta arenas,75,CL,1584498121,66,53.6,-53.15,-70.92,24.16
tongliao,55,CN,1584498142,32,54.03,43.61,122.27,16.89
busselton,6,AU,1584498142,39,69.01,-33.65,115.33,18.84
hofn,100,IS,1584498017,89,37.38,64.25,-15.21,21.77
ialibu,40,PG,1584498143,64,73.4,-6.28,143.99,4.7
yellowknife,75,CA,1584498143,64,-4.0,62.46,-114.35,5.82
nikolskoye,90,RU,1584498004,86,39.2,59.7,30.79,8.95
benjamin constant,40,BR,1584498143,94,80.6,-4.38,-70.03,3.36
severo-kurilsk,100,RU,1584498144,84,21.06,50.68,156.12,29.12
hermanus,30,ZA,1584498018,92,65.5,-34.42,19.23,3.42
new norfolk,100,AU,1584498144,43,72.0,-42.78,147.06,19.46
darhan,0,MN,1584498145,48,28.67,49.49,105.92,7.52
rikitea,74,PF,1584497997,80,80.4,-23.12,-134.97,11.81
kapaa,90,US,1584498145,88,75.2,22.08,-159.32,8.05
albany,40,US,1584497999,56,42.8,42.6,-73.97,6.93
ushuaia,40,AR,1584498145,50,55.4,-54.8,-68.3,10.29
thompson,5,CA,1584498007,44,-0.4,55.74,-97.86,5.82
mataura,62,NZ,1584498146,64,60.01,-46.19,168.86,5.99
tashtagol,100,RU,1584498147,91,29.97,52.77,87.89,7.58
bambous virieux,20,MU,1584498147,100,73.4,-20.34,57.76,5.82
saryozek,33,KZ,1584498147,84,50.27,44.36,77.98,5.17
shache,100,CN,1584498147,74,51.01,38.42,77.24,2.86
caravelas,0,BR,1584498148,81,80.76,-17.71,-39.25,8.25
vaini,75,TO,1584498148,78,80.6,-21.2,-175.2,9.17
pisco,75,PE,1584498148,78,73.4,-13.7,-76.22,9.17
kashiwazaki,4,JP,1584498148,58,55.99,37.37,138.55,1.99
hobart,100,AU,1584498145,43,72.0,-42.88,147.33,19.46
barrow,1,US,1584498001,78,15.8,71.29,-156.79,20.8
fairbanks,75,US,1584498020,51,35.6,64.84,-147.72,2.28
marshall,5,US,1584498149,87,61.0,34.38,-86.33,2.33
torbay,90,CA,1584498018,79,30.0,47.67,-52.73,24.16
waingapu,6,ID,1584498149,68,85.3,-9.66,120.26,10.18
jamestown,1,US,1584498150,86,39.2,42.1,-79.24,9.17
berbera,100,SO,1584498150,85,78.93,10.44,45.01,10.2
coquimbo,0,CL,1584498150,87,59.0,-29.95,-71.34,3.36
castro,32,BR,1584498150,97,65.91,-24.79,-50.01,6.49
chiang klang,0,TH,1584498151,83,73.4,19.29,100.86,7.38
jawhar,49,SO,1584498151,93,73.67,2.78,45.5,5.73
cape town,26,ZA,1584497996,88,64.99,-33.93,18.42,9.17
sao filipe,0,CV,1584498151,76,67.03,14.9,-24.5,14.99
bluff,83,NZ,1584498002,64,60.01,-46.6,168.33,5.01
souillac,20,MU,1584498019,100,73.4,-20.52,57.52,5.82
mount gambier,40,AU,1584498139,25,86.0,-37.83,140.77,14.99
qaanaaq,92,GL,1584498017,57,-19.48,77.48,-69.36,7.72
arraial do cabo,75,BR,1584498152,100,71.6,-22.97,-42.03,9.22
yulara,0,AU,1584498153,18,96.8,-25.24,130.99,9.17
hilo,90,US,1584498005,83,75.2,19.73,-155.09,9.17
saskylakh,0,RU,1584498153,78,-17.12,71.92,114.08,11.92
hithadhoo,0,MV,1584498016,75,84.67,-0.6,73.08,11.52
bredasdorp,0,ZA,1584498154,72,66.2,-34.53,20.04,5.82
ancud,0,CL,1584498154,100,48.2,-41.87,-73.82,3.36
nishihara,75,JP,1584498154,60,71.6,26.18,127.76,13.87
east london,0,ZA,1584498154,73,70.61,-33.02,27.91,6.89
labuhan,31,ID,1584498154,72,85.14,-6.88,112.21,6.13
dauriya,0,RU,1584498155,79,23.81,49.93,116.87,16.13
kihei,75,US,1584498000,94,71.6,20.79,-156.47,9.17
jacareacanga,100,BR,1584498155,95,74.46,-6.22,-57.75,2.24
cherskiy,100,RU,1584498155,92,2.55,68.75,161.3,12.24
kurchum,100,KZ,1584498156,82,33.19,48.57,83.65,2.42
chokurdakh,91,RU,1584498156,91,-14.28,70.63,147.92,12.5
guadalupe victoria,75,MX,1584498156,39,66.2,32.29,-115.11,10.29
mao,86,ES,1584498156,93,55.4,39.89,4.27,11.41
saint-philippe,90,RE,1584498000,88,75.2,-21.36,55.77,5.82
vrangel,0,RU,1584498157,82,36.55,42.73,133.08,8.32
beya,100,RU,1584498157,77,39.63,53.05,90.91,17.85
guerrero negro,28,MX,1584498157,65,63.23,27.98,-114.06,9.42
malartic,5,CA,1584498158,67,21.2,48.13,-78.13,10.29
chuy,100,UY,1584498158,78,69.37,-33.7,-53.46,11.95
inuvik,40,CA,1584498158,73,21.2,68.35,-133.72,2.24
port-cartier,90,CA,1584498158,100,28.99,50.03,-66.87,8.05
livadiya,15,RU,1584498158,60,42.13,42.87,132.68,6.15
abha,40,SA,1584498159,87,62.6,18.22,42.51,9.17
vieux-habitants,0,GP,1584498159,88,73.4,16.06,-61.77,6.93
port alfred,0,ZA,1584498159,94,64.0,-33.59,26.89,4.0
hambantota,75,LK,1584498159,100,77.0,6.12,81.12,2.24
itaperuna,100,BR,1584498160,97,71.56,-21.2,-41.89,0.94
evensk,100,RU,1584498160,86,12.18,61.95,159.23,3.67
huarmey,100,PE,1584498160,68,72.86,-10.07,-78.15,1.83
ulladulla,33,AU,1584498160,41,78.8,-35.35,150.47,8.05
zverinogolovskoye,6,RU,1584498160,92,20.35,54.46,64.85,7.99
vondrozo,31,MG,1584498161,97,68.59,-22.82,47.28,4.94
bad sackingen,0,DE,1584498161,93,48.0,47.55,7.95,2.04
kavieng,100,PG,1584498161,89,78.17,-2.57,150.8,7.85
madang,100,PG,1584498161,74,82.31,-5.22,145.8,4.79
ponta do sol,20,PT,1584498000,67,59.0,32.67,-17.1,14.99
leh,78,IN,1584498183,69,11.34,34.17,77.58,1.39
puerto ayora,0,EC,1584498183,77,80.01,-0.74,-90.35,8.01
faanui,100,PF,1584498183,70,83.77,-16.48,-151.75,7.87
geraldton,100,AU,1584498057,41,75.2,-28.77,114.6,12.75
harstad,100,NO,1584498184,80,35.6,68.8,16.53,18.34
aykhal,0,RU,1584498184,63,-11.2,66.0,111.5,6.71
nanortalik,60,GL,1584498184,55,19.94,60.14,-45.24,8.21
lac du bonnet,100,CA,1584498185,70,18.0,50.25,-96.06,3.47
bayangol,1,RU,1584498185,50,25.25,50.7,103.47,2.84
ahipara,0,NZ,1584498185,68,64.04,-35.17,173.17,20.07
valparaiso,0,CL,1584498151,93,57.2,-33.04,-71.63,3.36
georgetown,20,MY,1584498186,66,86.0,5.41,100.34,9.17
gopalganj,0,IN,1584498186,36,74.46,26.47,84.43,9.01
serenje,100,ZM,1584498186,96,63.25,-13.23,30.24,6.26
